Path,Owners,Online?,PS (2p0E34),Datasets (SmartPS),Streams,L1T Seed
HLT_EphemeralPhysics_v10,TSG,Yes,0,EphemeralHLTPhysics0& EphemeralHLTPhysics1& EphemeralHLTPhysics2& EphemeralHLTPhysics3& EphemeralHLTPhysics4& EphemeralHLTPhysics5& EphemeralHLTPhysics6& EphemeralHLTPhysics7,PhysicsHLTPhysics0& PhysicsHLTPhysics0& PhysicsHLTPhysics1& PhysicsHLTPhysics1& PhysicsHLTPhysics2& PhysicsHLTPhysics2& PhysicsHLTPhysics3& PhysicsHLTPhysics3,
HLT_EphemeralZeroBias_v10,TSG,Yes,0,EphemeralZeroBias0& EphemeralZeroBias1& EphemeralZeroBias2& EphemeralZeroBias3& EphemeralZeroBias4& EphemeralZeroBias5& EphemeralZeroBias6& EphemeralZeroBias7,PhysicsZeroBias0& PhysicsZeroBias0& PhysicsZeroBias1& PhysicsZeroBias1& PhysicsZeroBias2& PhysicsZeroBias2& PhysicsZeroBias3& PhysicsZeroBias3,L1_ZeroBias_copy
HLT_EcalCalibration_v4,AlCa& ECAL,Yes,1,EcalLaser& TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration& EcalCalibration,
HLT_HcalCalibration_v6,AlCa& HCAL,Yes,1,TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration,
HLT_HcalNZS_v22,AlCa& HCAL,Yes,1,HcalNZS& OnlineMonitor,DQM& PhysicsCommissioning,L1_ZeroBias OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p5 OR L1_DoubleJet100er2p5 OR L1_DoubleJet120er2p5 OR L1_QuadJet60er2p5 OR L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er
HLT_HcalPhiSym_v24,AlCa& HCAL,Yes,1,HcalNZS& OnlineMonitor,DQM& PhysicsCommissioning,L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3
HLT_Random_v3,AlCa& Tracker,Yes,40,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,
HLT_Physics_v15,AlCa& L1T& Tracker,Yes,50,EventDisplay(10)& ExpressPhysics(2)& HLTPhysics& OnlineMonitor,DQM& DQMEventDisplay& Express& PhysicsCommissioning,
HLT_ZeroBias_v14,AlCa& BPH& JME& SMP& TRK& Tracker,Yes,6,ExpressPhysics(6)& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_ZeroBias
HLT_ZeroBias_Alignment_v9,TRK,Yes,100,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_ZeroBias
HLT_ZeroBias_Beamspot_v18,TRK,Yes,50,DQMOnlineBeamspot& ExpressAlignment,DQMOnlineBeamspot& ExpressAlignment,L1_ZeroBias
HLT_ZeroBias_IsolatedBunches_v13,AlCa& HCAL,Yes,1,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_IsolatedBunch
HLT_ZeroBias_FirstBXAfterTrain_v11,TSG,Yes,1,OnlineMonitor& ZeroBias,DQM& PhysicsCommissioning,L1_FirstBunchAfterTrain
