Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLT_HIDoubleGEDPhoton20_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleGEDPhoton20_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle10Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle10Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle20Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle20Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle30Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle30Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle40Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle50Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Ele10Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Ele10Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Ele10GsfMass50_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIEle15Ele10GsfMass50_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle10Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle10Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle10GsfMass50_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle15Gsf_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle15Gsf_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle15GsfMass50_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIDoubleEle15GsfMass50_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_SinglePixelTrackLowPt_MaxPixelCluster400_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_SinglePixelTrack_MaxPixelTrack_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_NotMBHF2_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MinPixelCluster400_MaxPixelCluster10000_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_SinglePixelTrack_MaxPixelTrack_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AND_PixelTrackMultiplicity20_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AND_PixelTrackMultiplicity30_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AND_PixelTrackMultiplicity40_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2AND_PixelTrackMultiplicity20_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2AND_PixelTrackMultiplicity30_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2AND_PixelTrackMultiplicity40_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
