Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34_NoAXO,2p0E34_OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLT_L2Mu10_NoVertex_NoBPTX3BX_v12,0,80,80,80,80,80,80,80,80,0,80,80,1,0
HLT_L2Mu10_NoVertex_NoBPTX_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v11,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v12,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L2Mu23NoVtx_2Cha_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu50_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu23NoVtx_2Cha_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v22,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v11,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v23,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v11,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_PFJet30_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_CaloJet30_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_AK8PFJet30_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_AK8CaloJet30_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu30_TkMu0_Psi_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu30_TkMu0_Upsilon_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu25_TkMu0_Phi_v16,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu15_v11,0,2,2,2,2,2,2,2,2,2,2,2,1,0
HLT_Mu20_v20,0,5,5,5,5,5,5,5,5,5,5,5,1,0
HLT_Mu27_v21,0,500,500,500,500,500,500,500,500,500,500,500,1,0
HLT_Mu50_v21,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu55_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CascadeMu100_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_HighPtTkMu100_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DiPFJetAve40_v22,0,25,25,25,25,25,25,25,25,0,25,25,1,0
HLT_DiPFJetAve60_v22,0,5,5,5,5,5,5,5,5,0,5,5,1,0
HLT_DiPFJetAve80_v22,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve140_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve200_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve260_v22,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_DiPFJetAve320_v22,0,48,48,48,48,48,48,48,48,0,48,48,1,0
HLT_DiPFJetAve400_v22,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_DiPFJetAve500_v22,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_DiPFJetAve60_HFJEC_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve80_HFJEC_v25,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_DiPFJetAve100_HFJEC_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
