Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34_NoAXO,2p0E34_OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet230_SoftDropMass40_v9,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p03_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p05_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p03_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet275_Nch45_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet275_Nch40_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu50_AK8PFJet220_SoftDropMass40_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu50_AK8PFJet220_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu50_AK8PFJet230_SoftDropMass40_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu50_AK8PFJet230_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu50_AK8PFJet230_SoftDropMass40_PNetBB0p10_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p06_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p10_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_DoubleAK4PFJet60_30_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_DoubleAK4PFJet60_30_PNet2BTagMean0p50_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT250_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT250_QuadPFJet25_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT250_QuadPFJet25_PNet2BTagMean0p55_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT250_QuadPFJet25_PNet1BTag0p20_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_CrossL1_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60_CrossL1_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75_CrossL1_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS20_eta2p1_SingleL1_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS45_L2NN_eta2p1_CrossL1_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_PNetTauhPFJet30_Medium_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet30_Tight_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet26_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet26_L2NN_eta2p3_CrossL1_PFJet60_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet26_L2NN_eta2p3_CrossL1_PFJet75_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet30_Tight_eta2p3_CrossL1_ETau_Monitoring_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet30_Medium_eta2p3_CrossL1_ETau_Monitoring_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet30_Loose_eta2p3_CrossL1_ETau_Monitoring_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu20_eta2p1_PNetTauhPFJet27_Tight_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu20_eta2p1_PNetTauhPFJet27_Medium_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu20_eta2p1_PNetTauhPFJet27_Loose_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet20_eta2p2_SingleL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet45_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PFHT250_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_PFHT250_QuadPFJet25_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_PFHT250_QuadPFJet25_PNet1Tauh0p50_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_SinglePFJet25_PNet1Tauh0p50_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePNetTauhPFJet30_Medium_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_DoublePNetTauhPFJet30_Tight_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_DoublePNetTauhPFJet26_L2NN_eta2p3_PFJet60_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_DoublePNetTauhPFJet26_L2NN_eta2p3_PFJet75_v2,0,1,1,1,1,1,1,1,1,0,1,1,0,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet130_Loose_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet130_Medium_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_IsoMu24_eta2p1_PNetTauhPFJet130_Tight_L2NN_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_SinglePNetTauhPFJet130_Loose_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_SinglePNetTauhPFJet130_Medium_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_SinglePNetTauhPFJet130_Tight_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_DoubleL2Mu10NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu12NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu14NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL3Mu16_10NoVtx_DxyMin0p01cm_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL3Mu18_10NoVtx_DxyMin0p01cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL3Mu20_10NoVtx_DxyMin0p01cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu10NoVtx_2Cha_v7,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu10NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L3Mu10NoVtx_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L3Mu10NoVtx_DxyMin0p01cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu_L3Mu16NoVtx_VetoL3Mu0DxyMax0p1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu_L3Mu18NoVtx_VetoL3Mu0DxyMax0p1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu10NoVtx_2Cha_CosmicSeed_VetoL3Mu0DxyMax1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu12NoVtx_2Cha_CosmicSeed_VetoL3Mu0DxyMax1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu10NoVtx_2Cha_CosmicSeed_v7,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu10NoVtx_2Cha_CosmicSeed_VetoL3Mu0DxyMax1cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL3dTksMu16_10NoVtx_DxyMin0p01cm_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu50NoVtx_3Cha_CosmicSeed_VetoL3Mu0DxyMax1cm_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu50NoVtx_3Cha_VetoL3Mu0DxyMax1cm_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L3Mu30NoVtx_DxyMin0p01cm_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L3Mu50NoVtx_DxyMin0p01cm_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L3dTksMu10_NoVtx_DxyMin0p01cm_v8,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,0
HLT_Mu20NoFiltersNoVtxDisplaced_Photon20_CaloCustomId_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DisplacedMu24_MediumChargedIsoDisplacedPFTauHPS24_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon34_R9Id90_CaloIdL_IsoL_DisplacedIdL_MediumChargedIsoDisplacedPFTauHPS34_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS36_Trk1_eta2p1_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1_noDxy_v4,0,25,25,25,25,25,25,25,25,0,25,25,25,0
HLT_IsoMu27_MediumChargedIsoDisplacedPFTauHPS24_eta2p1_SingleL1_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT350_DelayedJet40_SingleDelay1p5To3p5nsInclusive_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HT350_DelayedJet40_SingleDelay1p6To3p5nsInclusive_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT350_DelayedJet40_SingleDelay3nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT350_DelayedJet40_SingleDelay3p25nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT350_DelayedJet40_SingleDelay3p5nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay0p5nsInclusive_v7,0,2500,2500,2500,2500,2500,2500,2500,2500,0,2500,2500,1,0
HLT_HT430_DelayedJet40_SingleDelay1nsInclusive_v7,0,500,500,500,500,500,500,500,500,0,500,500,1,0
HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HT430_DelayedJet40_SingleDelay1p1To1p6nsInclusive_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HT430_DelayedJet40_SingleDelay1p25To1p75nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay1p5nsInclusive_v7,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_HT430_DelayedJet40_SingleDelay2nsInclusive_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay2p25nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay2p5nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay0p5nsTrackless_v7,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay1p25nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_SingleDelay1p5nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_DoubleDelay0p5nsInclusive_v8,0,500,500,500,500,500,500,500,500,0,500,500,1,0
HLT_HT430_DelayedJet40_DoubleDelay1nsInclusive_v9,0,50,50,50,50,50,50,50,50,0,50,50,1,0
HLT_HT430_DelayedJet40_DoubleDelay1p25nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_DoubleDelay1p5nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_DoubleDelay0p75nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT430_DelayedJet40_DoubleDelay1nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay2p5To4nsInclusive_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_L1Tau_DelayedJet40_SingleDelay2p6To4nsInclusive_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_L1Tau_DelayedJet40_SingleDelay2p75To4nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay3p5nsInclusive_v7,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay3p75nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay4nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay2p5nsTrackless_v7,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay2p75nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_SingleDelay3nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay0p75nsInclusive_v7,0,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay1p25nsInclusive_v7,0,50,50,50,50,50,50,50,50,0,50,50,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay1p5nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay1p75nsInclusive_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay0p5nsTrackless_v7,0,500,500,500,500,500,500,500,500,0,500,500,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay1nsTrackless_v7,0,50,50,50,50,50,50,50,50,0,50,50,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay1p25nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Tau_DelayedJet40_DoubleDelay1p5nsTrackless_v5,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_L1Mu6HT240_v7,0,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1,0
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu6HT240_DisplacedDijet45_Inclusive0PtrkShortSig5_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu6HT240_DisplacedDijet50_Inclusive0PtrkShortSig5_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT350_v5,0,2060,2060,2060,2060,2060,2060,2060,2060,0,2060,2060,1,0
HLT_HT425_v17,0,512,512,512,512,512,512,512,512,0,512,512,1,0
HLT_HT360_DisplacedDijet40_Inclusive1PtrkShortSig5_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT360_DisplacedDijet45_Inclusive1PtrkShortSig5_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT390_DisplacedDijet40_Inclusive1PtrkShortSig5_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT390_DisplacedDijet45_Inclusive1PtrkShortSig5_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT390eta2p0_DisplacedDijet40_Inclusive1PtrkShortSig5_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT400_DisplacedDijet40_DisplacedTrack_v21,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_HT430_DisplacedDijet40_DisplacedTrack_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT550_DisplacedDijet60_Inclusive_v21,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_HT650_DisplacedDijet60_Inclusive_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_CaloMET60_DTCluster50_v9,0,50,50,50,50,50,50,50,50,0,50,50,1,0
HLT_CaloMET60_DTClusterNoMB1S50_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L1MET_DTCluster50_v9,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_L1MET_DTClusterNoMB1S50_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_CscCluster_Loose_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster_Medium_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster_Tight_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster50_Photon20Unseeded_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster50_Photon30Unseeded_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster100_Ele5_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster100_Mu5_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CscCluster100_PNetTauhPFJet10_Loose_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleCscCluster75_v5,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_IsoTrk200_L1SingleMuShower_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_IsoTrk400_L1SingleMuShower_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleCscCluster100_v5,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L1CSCShower_DTCluster50_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L1CSCShower_DTCluster75_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_PFMET105_IsoTrk50_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L1SingleLLPJet_v5,0,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1,0
HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay2nsInclusive_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay0p5nsTrackless_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay1nsInclusive_v9,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT200_L1SingleLLPJet_PFJet60_NeutralHadronFrac0p7_v2,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_HT200_L1SingleLLPJet_PFJet60_NeutralHadronFrac0p8_v2,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10Time1ns_v8,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10Time1p2ns_v8,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10Time1p4ns_v8,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10Time1p6ns_v8,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10Time1p8ns_v8,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10Time2ns_v8,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_DiPhoton10_CaloIdL_v8,0,20000,20000,20000,20000,20000,20000,20000,20000,0,20000,20000,1,0
HLT_DoubleEle6p5_eta1p22_mMax6_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle8_eta1p22_mMax6_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle10_eta1p22_mMax6_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_SingleEle8_v7,0,100,100,100,100,100,100,100,100,0,100,100,1,0
