Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLT_OxyL1SingleEG15er2p1_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleEG15er2p5_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleEG21_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleJet20_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleJet28_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleJet35_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleJet44_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleJet60_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleMu0_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleMu3_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleMu5_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleMu7_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleMuOpen_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyNotMBHF2_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxySingleEG2_NotMBHF2AND_ZDC1nOR_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxySingleEG3_NotMBHF2AND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
