Path,Owners,Online?,PS (HIon),Datasets (SmartPS),Streams,L1T Seed
DQM_HIEcalReconstruction_v10,ECAL,Yes,1000,HIDQMGPUvsCPU,HIDQMGPUvsCPU,L1GlobalDecision
DQM_HIHcalReconstruction_v8,HCAL& PFlow,Yes,1000,HIDQMGPUvsCPU,HIDQMGPUvsCPU,L1GlobalDecision
DST_Physics_v16,TSG,Yes,10,L1Accept,NanoDST,
HLT_HIEphemeralPhysics_v5,TSG,Yes,1000,HIEphemeralHLTPhysics,PhysicsHIHLTPhysics,
HLT_HIEphemeralZeroBias_v5,TSG,Yes,0,HIEphemeralZeroBias0& HIEphemeralZeroBias1,PhysicsHIZeroBias& PhysicsHIZeroBias,L1_ZeroBias_copy
HLT_EcalCalibration_v4,AlCa& ECAL,Yes,1,EcalLaser& TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration& EcalCalibration,
HLT_HcalCalibration_v6,AlCa& HCAL,Yes,1,TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration,
HLT_HIL1NotBptxOR_v14,HIN,Yes,1,HIEmptyBX& HIExpressPhysics& HIExpressPhysicsRawPrime& HIOnlineMonitor,HIDQM& HIExpress& HIExpressRawPrime& PhysicsHICommissioning,L1_NotBptxOR
HLT_HIL1UnpairedBunchBptxPlus_v14,HIN,Yes,1,HIEmptyBX& HIExpressPhysics(2)& HIExpressPhysicsRawPrime(2)& HIOnlineMonitor,HIDQM& HIExpress& HIExpressRawPrime& PhysicsHICommissioning,L1_UnpairedBunchBptxPlus
HLT_HIL1UnpairedBunchBptxMinus_v14,HIN,Yes,1,HIEmptyBX& HIExpressPhysics(2)& HIExpressPhysicsRawPrime(2)& HIOnlineMonitor,HIDQM& HIExpress& HIExpressRawPrime& PhysicsHICommissioning,L1_UnpairedBunchBptxMinus
HLT_HIPhysics_v14,HIN,Yes,50,HIExpressPhysics& HIExpressPhysicsRawPrime& HIHLTPhysics& HIOnlineMonitor,HIDQM& HIExpress& HIExpressRawPrime& PhysicsHICommissioning,
HLT_HIPhysicsForZS_v14,HIN,Yes,25,HITrackerNZS,PhysicsHITrackerNZS,
HLT_HIRandom_v7,HIN,Yes,40,HIExpressPhysics& HIExpressPhysicsRawPrime& HIOnlineMonitor(3)& HIPhysicsRawPrime0& HIPhysicsRawPrime1& HIPhysicsRawPrime10& HIPhysicsRawPrime11& HIPhysicsRawPrime12& HIPhysicsRawPrime13& HIPhysicsRawPrime14& HIPhysicsRawPrime15& HIPhysicsRawPrime16& HIPhysicsRawPrime17& HIPhysicsRawPrime18& HIPhysicsRawPrime19& HIPhysicsRawPrime2& HIPhysicsRawPrime20& HIPhysicsRawPrime21& HIPhysicsRawPrime22& HIPhysicsRawPrime23& HIPhysicsRawPrime24& HIPhysicsRawPrime25& HIPhysicsRawPrime26& HIPhysicsRawPrime27& HIPhysicsRawPrime28& HIPhysicsRawPrime29& HIPhysicsRawPrime3& HIPhysicsRawPrime30& HIPhysicsRawPrime31& HIPhysicsRawPrime32& HIPhysicsRawPrime33& HIPhysicsRawPrime34& HIPhysicsRawPrime35& HIPhysicsRawPrime36& HIPhysicsRawPrime37& HIPhysicsRawPrime38& HIPhysicsRawPrime39& HIPhysicsRawPrime4& HIPhysicsRawPrime40& HIPhysicsRawPrime41& HIPhysicsRawPrime42& HIPhysicsRawPrime43& HIPhysicsRawPrime44& HIPhysicsRawPrime45& HIPhysicsRawPrime46& HIPhysicsRawPrime47& HIPhysicsRawPrime48& HIPhysicsRawPrime49& HIPhysicsRawPrime5& HIPhysicsRawPrime50& HIPhysicsRawPrime51& HIPhysicsRawPrime52& HIPhysicsRawPrime53& HIPhysicsRawPrime54& HIPhysicsRawPrime55& HIPhysicsRawPrime56& HIPhysicsRawPrime57& HIPhysicsRawPrime58& HIPhysicsRawPrime59& HIPhysicsRawPrime6& HIPhysicsRawPrime7& HIPhysicsRawPrime8& HIPhysicsRawPrime9,HIDQM& HIExpress& HIExpressRawPrime& PhysicsHIPhysicsRawPrime0& PhysicsHIPhysicsRawPrime1& PhysicsHIPhysicsRawPrime10& PhysicsHIPhysicsRawPrime11& PhysicsHIPhysicsRawPrime12& PhysicsHIPhysicsRawPrime13& PhysicsHIPhysicsRawPrime14& PhysicsHIPhysicsRawPrime15& PhysicsHIPhysicsRawPrime16& PhysicsHIPhysicsRawPrime17& PhysicsHIPhysicsRawPrime18& PhysicsHIPhysicsRawPrime19& PhysicsHIPhysicsRawPrime2& PhysicsHIPhysicsRawPrime20& PhysicsHIPhysicsRawPrime21& PhysicsHIPhysicsRawPrime22& PhysicsHIPhysicsRawPrime23& PhysicsHIPhysicsRawPrime24& PhysicsHIPhysicsRawPrime25& PhysicsHIPhysicsRawPrime26& PhysicsHIPhysicsRawPrime27& PhysicsHIPhysicsRawPrime28& PhysicsHIPhysicsRawPrime29& PhysicsHIPhysicsRawPrime3& PhysicsHIPhysicsRawPrime30& PhysicsHIPhysicsRawPrime31& PhysicsHIPhysicsRawPrime32& PhysicsHIPhysicsRawPrime33& PhysicsHIPhysicsRawPrime34& PhysicsHIPhysicsRawPrime35& PhysicsHIPhysicsRawPrime36& PhysicsHIPhysicsRawPrime37& PhysicsHIPhysicsRawPrime38& PhysicsHIPhysicsRawPrime39& PhysicsHIPhysicsRawPrime4& PhysicsHIPhysicsRawPrime40& PhysicsHIPhysicsRawPrime41& PhysicsHIPhysicsRawPrime42& PhysicsHIPhysicsRawPrime43& PhysicsHIPhysicsRawPrime44& PhysicsHIPhysicsRawPrime45& PhysicsHIPhysicsRawPrime46& PhysicsHIPhysicsRawPrime47& PhysicsHIPhysicsRawPrime48& PhysicsHIPhysicsRawPrime49& PhysicsHIPhysicsRawPrime5& PhysicsHIPhysicsRawPrime50& PhysicsHIPhysicsRawPrime51& PhysicsHIPhysicsRawPrime52& PhysicsHIPhysicsRawPrime53& PhysicsHIPhysicsRawPrime54& PhysicsHIPhysicsRawPrime55& PhysicsHIPhysicsRawPrime56& PhysicsHIPhysicsRawPrime57& PhysicsHIPhysicsRawPrime58& PhysicsHIPhysicsRawPrime59& PhysicsHIPhysicsRawPrime6& PhysicsHIPhysicsRawPrime7& PhysicsHIPhysicsRawPrime8& PhysicsHIPhysicsRawPrime9,
HLT_HIRandom_HighRate_v3,HIN,Yes,0,HIPhysicsRawPrime0& HIPhysicsRawPrime1& HIPhysicsRawPrime10& HIPhysicsRawPrime11& HIPhysicsRawPrime12& HIPhysicsRawPrime13& HIPhysicsRawPrime14& HIPhysicsRawPrime15& HIPhysicsRawPrime16& HIPhysicsRawPrime17& HIPhysicsRawPrime18& HIPhysicsRawPrime19& HIPhysicsRawPrime2& HIPhysicsRawPrime20& HIPhysicsRawPrime21& HIPhysicsRawPrime22& HIPhysicsRawPrime23& HIPhysicsRawPrime24& HIPhysicsRawPrime25& HIPhysicsRawPrime26& HIPhysicsRawPrime27& HIPhysicsRawPrime28& HIPhysicsRawPrime29& HIPhysicsRawPrime3& HIPhysicsRawPrime30& HIPhysicsRawPrime31& HIPhysicsRawPrime32& HIPhysicsRawPrime33& HIPhysicsRawPrime34& HIPhysicsRawPrime35& HIPhysicsRawPrime36& HIPhysicsRawPrime37& HIPhysicsRawPrime38& HIPhysicsRawPrime39& HIPhysicsRawPrime4& HIPhysicsRawPrime40& HIPhysicsRawPrime41& HIPhysicsRawPrime42& HIPhysicsRawPrime43& HIPhysicsRawPrime44& HIPhysicsRawPrime45& HIPhysicsRawPrime46& HIPhysicsRawPrime47& HIPhysicsRawPrime48& HIPhysicsRawPrime49& HIPhysicsRawPrime5& HIPhysicsRawPrime50& HIPhysicsRawPrime51& HIPhysicsRawPrime52& HIPhysicsRawPrime53& HIPhysicsRawPrime54& HIPhysicsRawPrime55& HIPhysicsRawPrime56& HIPhysicsRawPrime57& HIPhysicsRawPrime58& HIPhysicsRawPrime59& HIPhysicsRawPrime6& HIPhysicsRawPrime7& HIPhysicsRawPrime8& HIPhysicsRawPrime9,PhysicsHIPhysicsRawPrime0& PhysicsHIPhysicsRawPrime1& PhysicsHIPhysicsRawPrime10& PhysicsHIPhysicsRawPrime11& PhysicsHIPhysicsRawPrime12& PhysicsHIPhysicsRawPrime13& PhysicsHIPhysicsRawPrime14& PhysicsHIPhysicsRawPrime15& PhysicsHIPhysicsRawPrime16& PhysicsHIPhysicsRawPrime17& PhysicsHIPhysicsRawPrime18& PhysicsHIPhysicsRawPrime19& PhysicsHIPhysicsRawPrime2& PhysicsHIPhysicsRawPrime20& PhysicsHIPhysicsRawPrime21& PhysicsHIPhysicsRawPrime22& PhysicsHIPhysicsRawPrime23& PhysicsHIPhysicsRawPrime24& PhysicsHIPhysicsRawPrime25& PhysicsHIPhysicsRawPrime26& PhysicsHIPhysicsRawPrime27& PhysicsHIPhysicsRawPrime28& PhysicsHIPhysicsRawPrime29& PhysicsHIPhysicsRawPrime3& PhysicsHIPhysicsRawPrime30& PhysicsHIPhysicsRawPrime31& PhysicsHIPhysicsRawPrime32& PhysicsHIPhysicsRawPrime33& PhysicsHIPhysicsRawPrime34& PhysicsHIPhysicsRawPrime35& PhysicsHIPhysicsRawPrime36& PhysicsHIPhysicsRawPrime37& PhysicsHIPhysicsRawPrime38& PhysicsHIPhysicsRawPrime39& PhysicsHIPhysicsRawPrime4& PhysicsHIPhysicsRawPrime40& PhysicsHIPhysicsRawPrime41& PhysicsHIPhysicsRawPrime42& PhysicsHIPhysicsRawPrime43& PhysicsHIPhysicsRawPrime44& PhysicsHIPhysicsRawPrime45& PhysicsHIPhysicsRawPrime46& PhysicsHIPhysicsRawPrime47& PhysicsHIPhysicsRawPrime48& PhysicsHIPhysicsRawPrime49& PhysicsHIPhysicsRawPrime5& PhysicsHIPhysicsRawPrime50& PhysicsHIPhysicsRawPrime51& PhysicsHIPhysicsRawPrime52& PhysicsHIPhysicsRawPrime53& PhysicsHIPhysicsRawPrime54& PhysicsHIPhysicsRawPrime55& PhysicsHIPhysicsRawPrime56& PhysicsHIPhysicsRawPrime57& PhysicsHIPhysicsRawPrime58& PhysicsHIPhysicsRawPrime59& PhysicsHIPhysicsRawPrime6& PhysicsHIPhysicsRawPrime7& PhysicsHIPhysicsRawPrime8& PhysicsHIPhysicsRawPrime9,
HLT_HIHcalNZS_v14,AlCa& HCAL& HIN,Yes,50000,HIHcalNZS& HIOnlineMonitor(3),HIDQM& PhysicsHICommissioning,L1_ZeroBias OR L1_SingleJet56_BptxAND
HLT_HIHcalPhiSym_v14,AlCa& HCAL& HIN,Yes,1,HIHcalNZS& HIOnlineMonitor(3),HIDQM& PhysicsHICommissioning,L1_SingleEG21_BptxAND OR L1_SingleMuOpen_BptxAND
HLT_HIZeroBias_v14,AlCa& HIN& Tracker,Yes,10,HIExpressPhysics(5)& HIExpressPhysicsRawPrime(5)& HIOnlineMonitor(3),HIDQM& HIExpress& HIExpressRawPrime,L1_ZeroBias
HLT_HIZeroBias_HighRate_v7,HIN,Yes,0,HIPhysicsRawPrime0& HIPhysicsRawPrime1& HIPhysicsRawPrime10& HIPhysicsRawPrime11& HIPhysicsRawPrime12& HIPhysicsRawPrime13& HIPhysicsRawPrime14& HIPhysicsRawPrime15& HIPhysicsRawPrime16& HIPhysicsRawPrime17& HIPhysicsRawPrime18& HIPhysicsRawPrime19& HIPhysicsRawPrime2& HIPhysicsRawPrime20& HIPhysicsRawPrime21& HIPhysicsRawPrime22& HIPhysicsRawPrime23& HIPhysicsRawPrime24& HIPhysicsRawPrime25& HIPhysicsRawPrime26& HIPhysicsRawPrime27& HIPhysicsRawPrime28& HIPhysicsRawPrime29& HIPhysicsRawPrime3& HIPhysicsRawPrime30& HIPhysicsRawPrime31& HIPhysicsRawPrime32& HIPhysicsRawPrime33& HIPhysicsRawPrime34& HIPhysicsRawPrime35& HIPhysicsRawPrime36& HIPhysicsRawPrime37& HIPhysicsRawPrime38& HIPhysicsRawPrime39& HIPhysicsRawPrime4& HIPhysicsRawPrime40& HIPhysicsRawPrime41& HIPhysicsRawPrime42& HIPhysicsRawPrime43& HIPhysicsRawPrime44& HIPhysicsRawPrime45& HIPhysicsRawPrime46& HIPhysicsRawPrime47& HIPhysicsRawPrime48& HIPhysicsRawPrime49& HIPhysicsRawPrime5& HIPhysicsRawPrime50& HIPhysicsRawPrime51& HIPhysicsRawPrime52& HIPhysicsRawPrime53& HIPhysicsRawPrime54& HIPhysicsRawPrime55& HIPhysicsRawPrime56& HIPhysicsRawPrime57& HIPhysicsRawPrime58& HIPhysicsRawPrime59& HIPhysicsRawPrime6& HIPhysicsRawPrime7& HIPhysicsRawPrime8& HIPhysicsRawPrime9,PhysicsHIPhysicsRawPrime0& PhysicsHIPhysicsRawPrime1& PhysicsHIPhysicsRawPrime10& PhysicsHIPhysicsRawPrime11& PhysicsHIPhysicsRawPrime12& PhysicsHIPhysicsRawPrime13& PhysicsHIPhysicsRawPrime14& PhysicsHIPhysicsRawPrime15& PhysicsHIPhysicsRawPrime16& PhysicsHIPhysicsRawPrime17& PhysicsHIPhysicsRawPrime18& PhysicsHIPhysicsRawPrime19& PhysicsHIPhysicsRawPrime2& PhysicsHIPhysicsRawPrime20& PhysicsHIPhysicsRawPrime21& PhysicsHIPhysicsRawPrime22& PhysicsHIPhysicsRawPrime23& PhysicsHIPhysicsRawPrime24& PhysicsHIPhysicsRawPrime25& PhysicsHIPhysicsRawPrime26& PhysicsHIPhysicsRawPrime27& PhysicsHIPhysicsRawPrime28& PhysicsHIPhysicsRawPrime29& PhysicsHIPhysicsRawPrime3& PhysicsHIPhysicsRawPrime30& PhysicsHIPhysicsRawPrime31& PhysicsHIPhysicsRawPrime32& PhysicsHIPhysicsRawPrime33& PhysicsHIPhysicsRawPrime34& PhysicsHIPhysicsRawPrime35& PhysicsHIPhysicsRawPrime36& PhysicsHIPhysicsRawPrime37& PhysicsHIPhysicsRawPrime38& PhysicsHIPhysicsRawPrime39& PhysicsHIPhysicsRawPrime4& PhysicsHIPhysicsRawPrime40& PhysicsHIPhysicsRawPrime41& PhysicsHIPhysicsRawPrime42& PhysicsHIPhysicsRawPrime43& PhysicsHIPhysicsRawPrime44& PhysicsHIPhysicsRawPrime45& PhysicsHIPhysicsRawPrime46& PhysicsHIPhysicsRawPrime47& PhysicsHIPhysicsRawPrime48& PhysicsHIPhysicsRawPrime49& PhysicsHIPhysicsRawPrime5& PhysicsHIPhysicsRawPrime50& PhysicsHIPhysicsRawPrime51& PhysicsHIPhysicsRawPrime52& PhysicsHIPhysicsRawPrime53& PhysicsHIPhysicsRawPrime54& PhysicsHIPhysicsRawPrime55& PhysicsHIPhysicsRawPrime56& PhysicsHIPhysicsRawPrime57& PhysicsHIPhysicsRawPrime58& PhysicsHIPhysicsRawPrime59& PhysicsHIPhysicsRawPrime6& PhysicsHIPhysicsRawPrime7& PhysicsHIPhysicsRawPrime8& PhysicsHIPhysicsRawPrime9,L1_ZeroBias_copy
HLT_HIZeroBias_FirstCollisionAfterAbortGap_v14,HIN,Yes,1,HIExpressPhysics(2)& HIExpressPhysicsRawPrime(2)& HIOnlineMonitor,HIDQM& HIExpress& HIExpressRawPrime,L1_FirstCollisionInOrbit
HLT_HIZeroBias_HighRateRAW_v4,HIN,Yes,1,HIZeroBias0& HIZeroBias1& HIZeroBias2,PhysicsHIZeroBiasRAW0& PhysicsHIZeroBiasRAW1& PhysicsHIZeroBiasRAW2,L1_ZeroBias_copy
HLT_HIMinimumBiasHF1AND_v7,HIN,Yes,1,HIMinimumBias0(700)& HIMinimumBias1(700)& HIMinimumBias2(700)& HIMinimumBias3(700)& HIPhysicsRawPrime0& HIPhysicsRawPrime1& HIPhysicsRawPrime10& HIPhysicsRawPrime11& HIPhysicsRawPrime12& HIPhysicsRawPrime13& HIPhysicsRawPrime14& HIPhysicsRawPrime15& HIPhysicsRawPrime16& HIPhysicsRawPrime17& HIPhysicsRawPrime18& HIPhysicsRawPrime19& HIPhysicsRawPrime2& HIPhysicsRawPrime20& HIPhysicsRawPrime21& HIPhysicsRawPrime22& HIPhysicsRawPrime23& HIPhysicsRawPrime24& HIPhysicsRawPrime25& HIPhysicsRawPrime26& HIPhysicsRawPrime27& HIPhysicsRawPrime28& HIPhysicsRawPrime29& HIPhysicsRawPrime3& HIPhysicsRawPrime30& HIPhysicsRawPrime31& HIPhysicsRawPrime32& HIPhysicsRawPrime33& HIPhysicsRawPrime34& HIPhysicsRawPrime35& HIPhysicsRawPrime36& HIPhysicsRawPrime37& HIPhysicsRawPrime38& HIPhysicsRawPrime39& HIPhysicsRawPrime4& HIPhysicsRawPrime40& HIPhysicsRawPrime41& HIPhysicsRawPrime42& HIPhysicsRawPrime43& HIPhysicsRawPrime44& HIPhysicsRawPrime45& HIPhysicsRawPrime46& HIPhysicsRawPrime47& HIPhysicsRawPrime48& HIPhysicsRawPrime49& HIPhysicsRawPrime5& HIPhysicsRawPrime50& HIPhysicsRawPrime51& HIPhysicsRawPrime52& HIPhysicsRawPrime53& HIPhysicsRawPrime54& HIPhysicsRawPrime55& HIPhysicsRawPrime56& HIPhysicsRawPrime57& HIPhysicsRawPrime58& HIPhysicsRawPrime59& HIPhysicsRawPrime6& HIPhysicsRawPrime7& HIPhysicsRawPrime8& HIPhysicsRawPrime9,PhysicsHIMinimumBias0& PhysicsHIMinimumBias1& PhysicsHIMinimumBias2& PhysicsHIMinimumBias3& PhysicsHIPhysicsRawPrime0& PhysicsHIPhysicsRawPrime1& PhysicsHIPhysicsRawPrime10& PhysicsHIPhysicsRawPrime11& PhysicsHIPhysicsRawPrime12& PhysicsHIPhysicsRawPrime13& PhysicsHIPhysicsRawPrime14& PhysicsHIPhysicsRawPrime15& PhysicsHIPhysicsRawPrime16& PhysicsHIPhysicsRawPrime17& PhysicsHIPhysicsRawPrime18& PhysicsHIPhysicsRawPrime19& PhysicsHIPhysicsRawPrime2& PhysicsHIPhysicsRawPrime20& PhysicsHIPhysicsRawPrime21& PhysicsHIPhysicsRawPrime22& PhysicsHIPhysicsRawPrime23& PhysicsHIPhysicsRawPrime24& PhysicsHIPhysicsRawPrime25& PhysicsHIPhysicsRawPrime26& PhysicsHIPhysicsRawPrime27& PhysicsHIPhysicsRawPrime28& PhysicsHIPhysicsRawPrime29& PhysicsHIPhysicsRawPrime3& PhysicsHIPhysicsRawPrime30& PhysicsHIPhysicsRawPrime31& PhysicsHIPhysicsRawPrime32& PhysicsHIPhysicsRawPrime33& PhysicsHIPhysicsRawPrime34& PhysicsHIPhysicsRawPrime35& PhysicsHIPhysicsRawPrime36& PhysicsHIPhysicsRawPrime37& PhysicsHIPhysicsRawPrime38& PhysicsHIPhysicsRawPrime39& PhysicsHIPhysicsRawPrime4& PhysicsHIPhysicsRawPrime40& PhysicsHIPhysicsRawPrime41& PhysicsHIPhysicsRawPrime42& PhysicsHIPhysicsRawPrime43& PhysicsHIPhysicsRawPrime44& PhysicsHIPhysicsRawPrime45& PhysicsHIPhysicsRawPrime46& PhysicsHIPhysicsRawPrime47& PhysicsHIPhysicsRawPrime48& PhysicsHIPhysicsRawPrime49& PhysicsHIPhysicsRawPrime5& PhysicsHIPhysicsRawPrime50& PhysicsHIPhysicsRawPrime51& PhysicsHIPhysicsRawPrime52& PhysicsHIPhysicsRawPrime53& PhysicsHIPhysicsRawPrime54& PhysicsHIPhysicsRawPrime55& PhysicsHIPhysicsRawPrime56& PhysicsHIPhysicsRawPrime57& PhysicsHIPhysicsRawPrime58& PhysicsHIPhysicsRawPrime59& PhysicsHIPhysicsRawPrime6& PhysicsHIPhysicsRawPrime7& PhysicsHIPhysicsRawPrime8& PhysicsHIPhysicsRawPrime9,L1_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1AND_copy_v6,HIN,Yes,1500,HIEventDisplay(20)& HIExpressPhysics& HIExpressPhysicsRawPrime& HIOnlineMonitor(20),HIDQM& HIDQMEventDisplay& HIExpress& HIExpressRawPrime,L1_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1AND_Beamspot_v8,HIN& TRK,Yes,3900,HIDQMOnlineBeamspot& HIExpressAlignment,HIDQMOnlineBeamspot& HIExpressAlignment,L1_MinimumBiasHF1_AND_BptxAND
