Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoL1AnomalyML,2p0E34_NoEcalTiming,HIon,PRef
HLT_PPRefCscCluster_Medium_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefCscCluster_Tight_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet8_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet12_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet16_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet20_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet24_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet28_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet8_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet12_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet16_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet20_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet24_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_SingleJet28_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_ZDC1nAsymXOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefUPC_ZDC1nOR_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_Random_HighRate_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLTriggerFinalPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaLumiPixelsCountsExpress,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaLumiPixelsCountsPrompt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaP0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaPhiSym,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_Commissioning,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_DQMGPUvsCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_DQMOnlineBeamspot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_EcalLaser,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_EmptyBX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_EventDisplay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ExpressAlignment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ExpressPhysics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_HLTMonitor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_HLTPhysics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_HcalNZS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_L1Accept,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_NoBPTX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_OnlineMonitor,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,30
Dataset_PPRefDoubleMuon0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Dataset_PPRefDoubleMuon1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Dataset_PPRefDoubleMuon2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Dataset_PPRefDoubleMuon3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Dataset_PPRefHardProbes0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dataset_PPRefHardProbes1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dataset_PPRefHardProbes2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dataset_PPRefSingleMuon0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dataset_PPRefSingleMuon1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dataset_PPRefSingleMuon2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dataset_PPRefZeroBiasPlusForward0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_PPRefZeroBiasPlusForward19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_RPCMonitor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_TestEnablesEcalHcal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_TestEnablesEcalHcalDQM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ZeroBias,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_SpecialRandom0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Dataset_SpecialRandom19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
