Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoAXO,2p0E34_NoEcalTiming,HIon,PRef
HLT_AK8PFJet380_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet400_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet425_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet450_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet250_250_SoftDropMass40_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet250_250_SoftDropMass50_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet260_260_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet260_260_SoftDropMass40_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet270_270_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet280_280_SoftDropMass30_v10,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet290_290_SoftDropMass30_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_CaloJet500_NoJetID_v20,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_CaloJet550_NoJetID_v15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
